id_webcam,titre,delai_ms,url_image,longitude,latitude
1,TANLAS - ST PAL EN CHALENCON RD 12 - ALTITUDE 955 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/tanlas.jpg,3.97169,45.35584
2,LE TRACOL RD 503  - ALTITUDE 1020 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/le-tracol.jpg,4.45685,45.25334
3,MONTCHAUD - RD 103 YSSINGEAUX - ALT 840M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/montchaud.jpg,4.10554,45.14884
4,NOUVET RD 15 - ALT 1130M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/nouvet.jpg,4.1795,45.0398
5, CHAMP POINTU - RD 500 ST PAUL DE TARTAS - ALTITUDE 1175 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/le-champ-pointu.jpg,3.92255,44.79868
6,PINOLS RD 590 - ALTITUDE 1035 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/pinols.jpg,3.39268,45.05445
9,COLLAT  RD 22 - ALT 1010M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/collat.jpg,3.60712,45.24478
12,ST GENEYS  - RD 906 - ALT 900M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/saint-geneys.jpg,3.82468,45.15578
13,LACHAUD CURMILHAC RD 117  - ALTITUDE 925 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/lachaud-curmilhac.jpg,3.6234,45.12363
14,MONTBONNET RD 589 - ALT 1120M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/montbonnet.jpg,3.74063,44.98885
15,LES GRANGES RD 40  - ALTITUDE 1120 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/les-granges.jpg,3.67857,45.09404
16,POUDEROUX RD 587 CNE DE CHANALEILLES - ALTITUDE 1280 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/pouderoux.jpg,3.4718,44.83832
17,ST VENERAND RD 32 - ALTITUDE 1070 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/st-venerand.jpg,3.67648,44.86607
18,ALLY RD 22  - ALTITUDE 1000 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/ally.jpg,3.31385,45.16087
19,LES INFRUITS RD 36 - ALT 1328M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/les-infruits.jpg,4.13318,44.91464
20,ST BONNET LE FROID RD105  - ALT 1126M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/st-bonnet-le-froid.jpg,4.43151,45.13952
21,LA PRÉVAUDIÈRE RD 500  - ALTITUDE 810 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/prevaudiere.jpg,4.26107,45.28779
23,LA BATTERIE CARREFOUR RD 15/ D 120 ARDÈCHE  - ALTITUDE 1030 M,10000,http://cameras-routes.auth-aca72b78cb1942c7be0a0be57abc3dd5.storage.gra.cloud.ovh.net/cameras/batterie.jpg,4.36524,45.02169
